model_key,source_file,batch_id,batch_size,sum_prompt_len,max_prompt_len,sum_prompt_len_sq,duration_ms
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-60,1,708,708,501264,25.453449925407767
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-61,1,638,638,407044,25.01906198449433
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-62,1,656,656,430336,22.010616958141327
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-63,1,460,460,211600,18.490543123334646
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-64,1,387,387,149769,18.069548066705465
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-65,1,441,441,194481,18.877516966313124
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-66,1,498,498,248004,21.119622979313135
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-67,1,467,467,218089,24.7283058706671
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-68,1,343,343,117649,17.458325950428843
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-69,1,682,682,465124,25.358378887176514
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-70,1,741,741,549081,34.79483397677541
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-71,1,746,746,556516,26.998881017789245
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-72,1,281,281,78961,17.137933988124132
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-73,1,332,332,110224,19.435746129602194
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-74,1,878,878,770884,26.698532979935408
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-75,1,569,569,323761,24.90921295247972
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-76,1,459,459,210681,15.365394065156579
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-77,1,783,783,613089,28.459463035687804
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-78,1,457,457,208849,17.589205177500844
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-79,1,276,276,76176,15.46437805518508
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-80,1,714,714,509796,27.613852871581912
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-81,1,258,258,66564,18.694888101890683
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-82,1,348,348,121104,18.193997908383608
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-83,1,280,280,78400,17.166489036753774
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-84,1,582,582,338724,27.058082167059183
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-85,1,258,258,66564,18.994132056832314
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-86,1,542,542,293764,25.81138419918716
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-87,1,364,364,132496,17.15744915418327
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-88,1,416,416,173056,18.89774389564991
