model_key,source_file,rate,batch_size,sum_prompt_len,max_prompt_len,sum_prompt_len_sq,duration_ms
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,681,681,463761,50.98972702398896
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,740,740,547600,52.902341121807694
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,745,745,555025,49.28642394952476
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,280,280,78400,50.15336396172643
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,331,331,109561,51.6077249776572
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,877,877,769129,50.60450895689428
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,568,568,322624,52.49179992824793
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,458,458,209764,46.753005823120475
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,782,782,611524,54.189813788980246
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,456,456,207936,48.143857857212424
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,275,275,75625,48.10111504048109
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,713,713,508369,48.295937944203615
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,257,257,66049,49.96006400324404
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,347,347,120409,50.48029916360974
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,279,279,77841,46.02021002210677
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,581,581,337561,51.15579394623637
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,257,257,66049,55.57345109991729
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,541,541,292681,52.133979042991996
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,363,363,131769,50.68198684602976
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,415,415,172225,47.84380388446152
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,819,819,670761,51.405639154836535
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,322,322,103684,51.50624108500779
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,248,248,61504,50.678300904110074
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,476,476,226576,52.61853407137096
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,501,501,251001,185.6727779377252
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,500,500,250000,52.67011490650475
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,259,259,67081,52.03901184722781
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,262,262,68644,47.858878038823605
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,135,135,18225,68.76448495313525
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,238,238,56644,54.64152107015252
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,51,51,2601,64.68340195715427
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,86,86,7396,61.96382618509233
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,110,110,12100,57.39847384393215
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,95,95,9025,50.8654210716486
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,46,46,2116,47.71295003592968
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,14,14,196,52.72384104318917
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,44,44,1936,49.65474712662399
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,160,160,25600,37.78513497672975
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,143,143,20449,50.68691587075591
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,132,132,17424,48.51550096645951
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,196,196,38416,47.653635032474995
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,124,124,15376,52.83420602791011
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,39,39,1521,55.17113488167524
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,172,172,29584,51.315476885065436
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,156,156,24336,52.08179401233792
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,15,15,225,50.83693494088948
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,204,204,41616,48.950646072626114
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,193,193,37249,49.81210082769394
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,159,159,25281,50.81166699528694
